EVENT TYPE,PLACE,EVENT,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,EVENT END DATE,UTILITY - PEOPLE AFFECTED,MAGNITUDE,YEAR,LONGITUDE,LATITUDE
Flood,Southern ON,1947-04-05,"Southern ON, April 5-12, 1947. Widespread flooding occurred on several river systems (including the Thames, Grand, Rideau, Credit and Saugeen Rivers) as well as in the Lake St. Clair and Lake Nipissing regions. Several roads and railways were forced to close due to flooding; utilities and businesses were also disrupted.",0,0,0,0,4/12/1947 12:00:00 AM,0,0,1947,-81.316,43.174
Flood,Bristol NB,1947-04-30,"Bristol NB, April 30, 1947. Heavy rains, mild temperatures and snowmelt contributed to a heavy runoff and overflow of the Saint John River, New Brunswick;  two people were killed in a train wreck near Bristol as a result of the track being undermined by the Saint John River.",2,0,100,0,4/30/1947 12:00:00 AM,0,0,1947,-67.581,46.4706
Flood,Southern Ontario,1948-03-16,"Southern Ontario, March 16-22, 1948. Communities in the Lake St. Clair region, southwestern Ontario (on Maitland, Grand and Thames Rivers), southcentral Ontario (Toronto area) and in southwestern Ontario (the Rideau River) suffered from flood damages; transportation systems were closed due to flooding, and businesses were closed; dams were damaged on the Maitland and Thames Rivers and in Toronto.",0,0,0,0,3/16/1948 12:00:00 AM,0,0,1948,-87.3927,49.2934
Flood,Red Deer River AB,1948-04-21,"Red Deer River AB, April 21, 1948. Hundreds of families from Newcastle, Wayne, Rosedale, and Drumheller were evacuated by the Canadian Red Cross when the Red Deer River flooded.",0,0,0,0,4/21/1948 12:00:00 AM,0,0,1948,-113.7755,52.3191
Flood,Fraser River BC,1948-05-31,"Fraser River BC, May 31, 1948. The flood ripped apart dikes;  almost 10% of the area of the Fraser Valley (22,257 ha) was flooded; ten people died and 9000 were left homeless; 3000 buildings were destroyed and eighty-two bridges were washed out.  Flood damage spread 200 km in area. The Canadian Red Cross (CRC) gave aid to 3800 of the 16000 evacuees; 33000 volunteers worked on dikes.",10,0,16000,0,5/31/1948 12:00:00 AM,0,0,1948,-121.7115,49.2447
Flood,St. John's NL,1948-09-14,"St. John's NL, September 14, 1948. Torrential rains caused at least three houses to collapse when hit by mudslides; in one area it was necessary to rescue residents by boat, one child died.",1,0,0,0,9/14/1948 12:00:00 AM,0,0,1948,-52.7151,47.5617
Flood,Southern Ontario,1950-03-24,"Southern Ontario, March 24-29, 1950. Widespread flooding affected southern Ontario including Toronto; many roads were flooded, and businesses were closed along the Grand River.",0,0,0,0,3/29/1950 12:00:00 AM,0,0,1950,-87.3927,49.2934
Flood,Southern Ontario,1950-04-04,"Southern Ontario, April 4-8, 1950. Widespread flooding across southern Ontario resulted in the closing of several roads.",0,0,0,0,4/8/1950 12:00:00 AM,0,0,1950,-87.3927,49.2934
Flood,Saint John River Basin NB,1950-04-20,"Saint John River basin NB, April 20, 1950. Heavy rains and spring breakup caused ice jams and consequent flooding of several rivers throughout New Brunswick.",0,0,0,0,4/20/1950 12:00:00 AM,0,0,1950,,
Flood,Winnipeg MB,1950-05-05,"Winnipeg MB, May to June 1950. 1 dead, 107,000 evacuated (one-third of the city), 5000 buildings damaged. A major flood occurred April - June 1950; a heavy snow cover caused the Red River to reach flood levels by April 22, 1950; a heavy rainfall in early May caused the river to stay above flood stage for 51 days; the water reached 4.6 metres in depth in low lying areas; 60 000 people were forced to evacuate as one tenth of the city of Winnipeg was covered in water; a volunteer pump operator drowned.",1,0,107000,0,6/15/1950 12:00:00 AM,0,0,1950,-97.1385,49.8955
Flood,Bow River BC,1951-01-01,"Bow River BC, 1951.",0,0,0,0,1/1/1951 12:00:00 AM,0,0,1951,-114.0098,51.0336
Flood,Sumas and Chilliwack BC,1951-01-01,"Sumas and Chilliwack BC, February 1951. Floods caused the evacuation of 94 families (assume a family of 4).",0,0,376,0,1/1/1951 12:00:00 AM,0,0,1951,-121.9609,49.1184
Flood,"Stephenville Crossing, Summerside NL",1951-12-19,"Stephenville Crossing, Summerside NL, December 19, 1951.  A severe storm hit Stephenville Crossing and Summerside, with winds gusting at 180 km/h and flooding the towns. The rail bed was washed-out and the rail line closed for three days. The train station was flooded as were major roads that were covered under 1.2 m of water. A sawmill at Summerside was destroyed, 15 telegraph poles were blown down, fishermen lost boats and gear, and thousands of lobsters washed ashore.",0,0,600,0,12/19/1951 12:00:00 AM,0,0,1951,,
Flood,Eastend SK,1952-04-01,"Eastend SK, April 1952. In spring 1952, the Frenchman River flooded the town of Eastend; the flood was a result of a well-above-normal snowpack in the Cypress Hills and below-normal spring temperatures.",0,0,0,0,5/1/1952 12:00:00 AM,0,0,1952,-108.8198,49.5195
Flood,Southern Ontario,1954-02-15,"Southern Ontario, February 15-18, 1954. Communities on the shores of Lakes Ontario, Erie and Huron, including Toronto, experienced flooding; the Thames and Grand Rivers also experienced flooding which disrupted utilities and forced roads and businesses to close.",0,0,0,0,2/18/1954 12:00:00 AM,0,0,1954,-87.3927,49.2934
Flood,Manitoba and Saskatchewan,1955-01-01,"Manitoba and Saskatchewan, 1955. Most damage to rural areas. Roads and bridges were washed out or damaged and sowing of fields was inhibited due to water cover.",0,0,0,0,1/1/1955 12:00:00 AM,0,0,1955,-100.296,50.5762
Flood,Nova Scotia,1956-01-03,"Nova Scotia, January 3-18, 1956. A prolonged warm spell from the month of December 1955-Feb 1956, caused province-wide flooding from snowmelt and ice jams; the major flooding occurred from Jan. 318, during a period referred to as the longest January thaw to date; 100 bridges were destroyed across the province.",0,0,0,0,1/18/1956 12:00:00 AM,0,0,1956,-63.1654,45.196
Flood,Southern Ontario,1956-08-30,"Southern Ontario, August 30-31, 1956. Due to flooding, several roads were closed and damage occurred along the Thames and Grand Rivers as well in the Toronto area.",0,0,0,0,8/31/1956 12:00:00 AM,0,0,1956,-87.3927,49.2934
Flood,Thetford Mines QC,1957-01-01,"Thetford Mines QC, August 1957. A convective storm brought torrential rainfall to the area near Thetford Mines; severe damage was caused in Thetford Mines and the Becancour Basin.",0,0,0,0,1/1/1957 12:00:00 AM,0,0,1957,-71.3013,46.0913
Flood,Winnipeg MB,1960-04-18,"Winnipeg MB, April 18, 1960. Severe flooding of the Red River in the Winnipeg area (damages unknown).",0,0,0,0,4/18/1960 12:00:00 AM,0,0,1960,-97.1385,49.8955
Flood,Southern and Central Ontario,1960-05-09,"Southern and Central Ontario, May 9-14, 1960. Substantial flooding caused the closing of numerous roads in central Ontario.",0,0,0,0,5/14/1960 12:00:00 AM,0,0,1960,-87.3927,49.2934
Flood,Saint John River Basin NB,1961-05-25,"Saint John River basin NB, May 25-31, 1961. Extensive rainfall from cyclonic storms over a long period of time added to the already substantial snowmelt resulted in widespread flooding across New Brunswick in late May 1961; significant damage was reported in the Saint John, Nashwaak, Miramichi and Tobique River basins; 1 drowning victim reported.",1,0,0,0,5/31/1961 12:00:00 AM,0,0,1961,,
Flood,Timmins ON,1961-08-31,"Timmins ON, August 31, 1961. A severe thunderstorm moved across the Timmins area; hail was reported; storm runoff from the Town Creek basin and runoff from streets and storm sewers of Timmins caused Town Creek to reach flood stage; Timmins was flooded resulting in road washouts, smashed houses and undercut foundations; a mother and four children drowned in a house along the bank of the creek.",5,0,0,0,8/31/1961 12:00:00 AM,0,0,1961,-81.3304,48.4775
Flood,Northwestern British Columbia,1961-10-10,"Northwestern British Columbia, October 10-14, 1961. Flash floods caused by storm with heavy rains, warm temperatures, and 'freak' winds. The flood on the Nass River was the largest recorded; Greenville and Aiyansh were cut-off. Homes were flooded, damaged, and destroyed in these two communities. Approximately 100 people were evacuated. Roads were washed-out, and many bridges in the area were damaged or destroyed. Much of the winter supply of fish and meat was lost at Greenville. The BC Red Cross Society provided aid.",0,0,100,0,10/14/1961 12:00:00 AM,236364,0,1961,,
Flood,Prince Edward Island,1962-01-01,"Prince Edward Island, April 1962. A frontal storm hit the south coast of Prince Edward Island, depositing 180 mm of rain on top of heavy snow in early April; major flooding occurred, causing several washouts and damaging bridges and paved highways; the problem was increased by ice jams; the flood affected almost the entire province.",0,0,0,0,1/1/1962 12:00:00 AM,0,0,1962,-63.5955,46.5035
Flood,Southeastern New Brunswick,1962-03-31,"Southeastern New Brunswick, March 31 - April 4, 1962.  Flooding was caused by heavy rainfall. Flooding occurred along many rivers in the southeastern portion of the province.  It was said to be the heaviest flooding in memory in Moncton.  Bridges, highways and railway lines were washed out; several communities and portions thereof isolated.  At least 50 people in Sackville were forced out of their homes.  Damage in St. John, Moncton, Sackville, and Kings County.",0,0,0,0,4/4/1962 12:00:00 AM,584656,0,1962,,
Flood,"Hay River Township, south shore of Great Slave Lake NT",1963-05-03,"Hay River Township, south shore of Great Slave Lake NT, May 3, 1963. Major flooding caused by ice jamming in Old Town and Indian Village required evacuation of the community of Hay River.",0,0,1800,0,5/3/1963 12:00:00 AM,0,0,1963,,
Flood,St. Lawrence River QC,1965-01-01,"St. Lawrence River QC, 1965. A flood was caused by an ice jam 20 km downstream from Montr?al; damage was reported by several communities and 20 people died.",20,0,0,0,1/1/1965 12:00:00 AM,0,0,1965,-70.7466,47.0542
Flood,Winnipeg MB,1966-04-14,"Winnipeg MB, April 14, 1966. Spring runoff and heavy rains caused extensive damage.",0,0,0,0,4/14/1966 12:00:00 AM,0,0,1966,-97.1385,49.8955
Flood,Baie-Comeau QC,1966-11-03,"Baie-Comeau QC, November 3, 1966. An exceptional fall flood on the north bank of the St. Lawrence River, Qu?bec; the region of Baie-Saint-Paul - Baie-Comeau reported the most severe damage, while the effects of the flood reached the region of Batiscan ? Sept-?les; three people died at Pointe-aux-Anglais on the C?te-Nord, two others died at Charlevoix.",5,0,0,0,11/3/1966 12:00:00 AM,0,0,1966,-68.1523,49.2176
Flood,Southwestern and Southern Ontario,1968-02-02,"Southwestern and Southern Ontario, February 2, 1968. Areas around Kettle Creek, the Thames and Ausable Rivers, the St. Clair and Niagara regions and the cities of Bayfield and Toronto experienced some flooding in February 1968.",0,0,0,0,2/2/1968 12:00:00 AM,0,0,1968,-80.5152,43.4346
Flood,Qu'Appelle River Basin SK,1969-01-01,"Qu'Appelle River SK, April 1969.  Flooding was caused by a rapid spring snowmelt following high fall and winter precipitation. Twelve to 14 thousand acres of agricultural land were flooded. There was urban flooding in Moose Jaw; highways, roads and bridges were damaged, and a train derailed by washout.",0,0,0,0,1/1/1969 12:00:00 AM,0,0,1969,,
Flood,Winnipeg MB,1969-05-02,"Winnipeg MB, May 2, 1969. Severe flooding in the Winnipeg area of the Red River.",0,0,0,0,5/2/1969 12:00:00 AM,0,0,1969,-97.1385,49.8955
Flood,Iroquois NB,1969-05-11,"Iroquois NB, May 11, 1969. Spring runoff created flood conditions throughout the upper portion of the Saint John River basin, New Brunswick; a 9-year old child drowned in a river at Iroquois, Madawaska County.",1,0,0,0,5/11/1969 12:00:00 AM,0,0,1969,-68.2663,47.3625
Flood,Newfoundland,1969-05-19,"NF, May 19-21, 1969.  Widespread flooding caused by heavy rainfall and snowmelt; railway traffic disrupted, highways washed out, homes and buildings inundated. Several municipal agencies assisted in the flood relief.",0,0,0,0,5/21/1969 12:00:00 AM,0,0,1969,-56.6963,49.1212
Flood,Saint John River Basin NB,1970-02-02,"Saint John River basin NB, February 2-6, 1970. Snowmelt, ice jams and heavy rainfall caused flooding in New Brunswick; a series of ice jams in six rivers caused the destruction of 32 bridges and caused the damage of 124 other bridges. Extensive damage was done to private homes, farmsteads, farm equipment, fishing gear,  industrial and commercial companies. Over 600 properties were damaged.  One person died when a barn collapsed, and two others drowned.",3,0,0,3737000,2/6/1970 12:00:00 AM,0,0,1970,,
Flood,Chaudi?re River QC,1970-04-22,"Qu?bec, April 1970. The year of 1970 was marked by two exceptional floods.  One of the St. Maurice, Mattawin, l'Assomption and Maskinonge Rivers on May 5, 1970 and the other in the Chaudi?re River Basin on April 22, 1970.",0,0,0,0,5/5/1970 12:00:00 AM,0,0,1970,-70.9296,45.5902
Flood,Winnipeg MB,1970-04-30,"Winnipeg MB, April 30, 1970. Severe flooding in the Winnipeg area of the Red River.",0,0,0,0,4/30/1970 12:00:00 AM,0,0,1970,-97.1385,49.8955
Flood,Central Ontario,1970-06-27,"Central Ontario, June 27-28, 1970. Areas along the Spanish, Wanapetei, Blind, Little White, Goulais and Mississagi Rivers, as well as the city of Sault Ste. Marie experienced flooding; several businesses and roads were closed due to the flooding.  Most of the damages were reported in Sault Ste. Marie and on the Spanish, Wanapetei and Blind Rivers.",0,0,0,0,6/28/1970 12:00:00 AM,0,0,1970,-78.9926,44.9376
Flood,Nova Scotia,1971-02-13,"Nova Scotia, February 13-15, 1971.  Floods due to heavy rains and high temperatures, which caused snowmelt and ice jamming. There was widespread flood damage; homes and businesses flooded, highways and roads inundated.",0,0,0,0,2/15/1971 12:00:00 AM,0,0,1971,-63.1654,45.196
Flood,Montreal QC,1971-04-01,"Montreal QC, April 1971. Flooding at the mouth of the Outaouais on Lac des Deux-Montagnes and of the St. Lawrence from the southwest corner of Montreal island to Lake Saint-Pierre.",0,0,0,0,4/30/1971 12:00:00 AM,0,0,1971,-73.6104,45.4972
Flood,Saint-Jean QC,1971-05-01,"Saint-Jean QC, May 1971. The Richelieu River overflowed to cover the surrounding area up to 72 kilometres in distance, reaching a height of 2.44 m of water; 65% of the damage costs were directed to the rural sector; basements in Saint-Jean were flooded.",0,0,0,0,5/1/1971 12:00:00 AM,0,0,1971,-73.7644,45.3692
Flood,Richelieu River QC,1972-04-01,"Richelieu River QC, April-June 1972. Serious flooding throughout the province, notably that of the Richelieu which affected land from Missisquoi Bay to Saint-Jean, lasting from mid-April to the beginning of June.",0,0,0,0,6/1/1972 12:00:00 AM,0,0,1972,-73.25,45.4419
Flood,Prince George BC,1972-05-01,"Fraser River at Prince George BC, May 1972. Freshet flooding caused significant damage along the Fraser River; an above-average snowfall, and substantial mountain snowpacks, followed by high temperatures in late May resulted in severe flooding at the end of May and into June; the Fraser River peaked three times in June, flooding both the upper and lower Fraser River Valley, affecting several communities (upstream communities of Kamloops and Prince George, and downstream communities of Surrey and Hope).",0,0,0,5300000,5/1/1972 12:00:00 AM,0,0,1972,-122.7454,53.9129
Flood,Corner Brook NL,1972-05-15,"Corner Brook NL, May 15, 1972. Spring runoff accompanied by rainfall caused flooding affecting communities on the Port au Prince Peninsula and area;  damage to CNR; in Corner Brook, a 3-year old child drowned when swept away by a swollen brook behind her home.",1,0,0,0,5/15/1972 12:00:00 AM,0,0,1972,-57.9474,48.9532
Flood,Smoky and Peace River Basins AB,1972-06-11,"Smoky and Peace River basins AB, June 11-13, 1972. More than 150 mm of rain fell over parts of the Peace River basin southwest of Grande Prairie.  On June 13, a State of Emergency was declared in the town of Grande Prairie as flood water from the Wapiti River inundated the water treatment plant.  Strict water rationing was brought into effect and all non-essential water use was curtailed.  Some local industries were shut down and elementary schools closed.",0,0,105,0,6/13/1972 12:00:00 AM,0,0,1972,,
Flood,Lake Huron ON,1973-03-01,"Lake Huron ON, March 1973. The southern coast of Lake Huron from Sarnia to Bayfield was hit by major storms in the months of March and April; heavy damage was reported.",0,0,0,0,4/30/1973 12:00:00 AM,0,0,1973,-81.7671,44.3834
Flood,Saint John River Basin NB,1973-04-27,"Saint John River basin NB, April 27 - May 5, 1973. The Sheffield-Maugerville area (downstream from Fredericton), and Fredericton were some of the communities that were flooded; the pulp and paper industry was affected.  The centre of the Province reported 68 mm of rain.  The 60 cm of snow on the frozen ground increased the volume of water which was running into the river.  Over 2,500 private homes were flooded and 536 families (1,600 persons) were forced to evacuate their homes in the central part of the Province.  Only one death has been attributed to the flooding.  Major losses to crops have resulted from the high water, erosion, and loss of greenhouse plants.",1,0,1600,7311000,5/5/1973 12:00:00 AM,0,0,1973,,
Flood,Saskatchewan,1974-01-01,"Saskatchewan, 1974. In the winter of 1974, near-record snowfall resulted in extensive spring flooding across the province; farms and ranch land were flooded, while roads and bridges were damaged along the Carrot and Red Deer rivers; the communities of Pierceland and Green Lake on the Beaver River were affected; the cities of Moose Jaw, Regina and Lumsden, on the Qu'Appelle River basin, received major flood damage; in Moose Jaw, the Moose Jaw River, Thunder Creek and Spring Creek overflowed their banks and caused the flooding of 60 city blocks (including 480 homes) and the evacuation of 1400 people (April 18 and 19); the Wascana Creek overflowed its banks in Regina.",0,0,1400,6611800,1/1/1974 12:00:00 AM,0,0,1974,-106.1412,55.5321
Flood,Maniwaki QC,1974-01-01,"Maniwaki QC, January-June 1974. Over 300 municipalities were affected by the province-wide flooding caused by an unusually wet spring combined with excessive runoff of spring snowmelt;  flooding centred on the Gatineau, Ottawa, Richelieu, Saint Lawrence, Chateauguay, Saint-Maurice, and Chaudi?re Rivers; over 1000 homes and 600 summer cottages were flooded; approximately 7000 people were evacuated; in Maniwaki, damages were high as 3000 residents had to be evacuated; the communities of Wakefield, Chelsea, and Pointe-Gatineau, downstream from Maniwaki, were also affected.",0,0,10000,21765136,6/30/1974 12:00:00 AM,0,0,1974,-75.9806,46.3781
Flood,Central and Northern Alberta,1974-03-01,"Central and Northern AB, Spring 1974.  Adverse weather and flooding had major impacts in most of Alberta.  Heavy snowfall accumulations prevented the harvest of 1973 crops.  Farmers could not plant 1974 seeds either since the soil was saturated.  Spring flooding damaged private property, agricultural lands, livestock, roads, and bridges.",0,0,0,8532000,6/30/1974 12:00:00 AM,0,0,1974,-114.5325,58.4702
Flood,Central and Southern Manitoba,1974-04-01,"Central and Southern Manitoba, April-May 1974. Severe flooding occurred in central and southern Manitoba on practically all rivers and river systems; many people had to be evacuated; although the natural discharge of water was greater than the flood in 1966, the city of Winnipeg avoided major damage due to the Red River Floodway, the portage Diversion, and the Shellmouth Dam, which were flood control programs intentionally set-up to reduce flooding in Winnipeg.",0,0,0,14523061,5/31/1974 12:00:00 AM,0,0,1974,-99.2506,57.1483
Flood,Saint John River Basin NB,1974-04-29,"Saint John River NB, April 29, 1974. Heavy spring runoff and ice jams caused flooding along the Restigouche and Saint John Rivers beginning on April 29 and continuing to the middle of May. Major areas affected were along the Saint John River from Mactaquac through Fredericton to Maugerville and Sheffield. Residential property, private property, small businesses, schools, public property, churches and other buildings sustained damages. Highways, roads and bridges were flooded over and washed out. There were crop and livestock losses, also major damage to the fishing industry. Some minor flooding occurred along the following rivers: Keswick, Nashwaak, Tay, Oromocto and Jemseg.",0,0,0,800539,4/29/1974 12:00:00 AM,0,0,1974,,
Flood,"Hay River Township, south shore of Great Slave Lake NT",1974-05-02,"Hay River Township, south shore of Great Slave Lake NT, May 2, 1974. Flooding caused by ice jamming required evacuation of West Channel residents.",0,0,0,0,5/2/1974 12:00:00 AM,0,0,1974,,
Flood,Cambridge/Waterloo Region ON,1974-05-17,"Grand River, Cambridge ON, May 17-21, 1974. Many roads and businesses were closed in Cambridge; some small dams (one on the Grand River and two on the Maitland River) were damaged and utility services were disrupted in some areas.",0,0,0,0,5/21/1974 12:00:00 AM,0,0,1974,-80.3123,43.3601
Flood,Saskatchewan,1975-04-01,"Saskatchewan, April-May 1975. An extremely high snow accumulation combined with long periods of rain during the runoff period led to the spring flooding of Saskatchewan. The annual flood volume was 5 times above average.  Both the North and South Saskatchewan Rivers experienced flooding, along with the Qu\'Appelle River basin.  Damage to homes, small businesses and public works occurred in 69 municipalities and 1 village. There were eroded banks, damaged churches, hospitals, roads and farmland. Losses in livestock and grains were reported. Raising of road grades was necessary.",0,0,0,1893852,5/31/1975 12:00:00 AM,0,0,1975,-106.1412,55.5321
Flood,Southwestern AB,1975-06-01,"Southwestern AB, June 1975.  A severe rain storm occurred over the upper portion of the Oldman River Basin in southwestern Alberta.  During a four-day period, the storm deluged the area with 360 mm of rain.  The storm resulted in flooding along the Oldman River and many of its tributaries.  Flood damage occurred in the towns of Waterton, Pincher Creek, Fort Macleod, Cardston and the City of Lethbridge.  At Fort Macleod, one resident drowned in the flood waters of the Oldman River.",1,0,0,0,6/1/1975 12:00:00 AM,0,0,1975,-112,50
Flood,Regina SK,1975-06-25,"Regina SK, June 25, 1975. Over 120 mm of rain fell of Regina and the surrounding area, causing major property damage.",0,0,0,2828222,6/25/1975 12:00:00 AM,0,0,1975,-104.6189,50.4452
