YYYYMMDDHHMM_UTC,YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_N,START_LON_W,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_M,HUMAN_FATAL,HUMAN_INJ,DMG_THOUS,FORECAST_REGION,,,
19800715 1905,1980,07,15,1505,Wellesley,ON,0,43.4895,-80.7672,43.4941,-80.7497,1500,250,,,,50,Waterloo - Wellington,,,
19800716 1336,1980,07,16,0936,LaSalle,ON,1,42.2442,-83.1007,42.2290,-83.0270,6350,285,,,,500,Windsor - Essex - Chatham-Kent,,,
19800722 1420,1980,07,22,1120,Roseway,NS,0,43.6333,-65.3497,,,,,130,,,,Shelburne County,,,
19800726 2355,1980,07,26,1855,Fairford Reserve,MB,0,51.5800,-98.7100,,,,,,,,,Arborg - Hecla - Fisher River - Gypsumville - Ashern,,,
19800729 0350,1980,07,28,2150,North Battleford,SK,0,52.8680,-108.2870,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19800730 0345,1980,07,29,2345,Bowsman,MB,0,52.2300,-101.2000,,,,,,,,,Swan River - Duck Mountain - Porcupine Provincial Forest,,,
19800808 1450,1980,08,08,1050,Wheatley,ON,0,42.1066,-82.4633,42.1014,-82.4246,3250,280,500,0,0,,Windsor - Essex - Chatham-Kent,,,
19800808 2015,1980,08,08,1615,Le Petit-Aigle,QC,2,46.2403,-76.3036,,,,,,0,1,,Pontiac,,,
19800809 1300,1980,08,09,0900,Roberval,QC,0,48.4917,-72.2520,,,,,,,,,Lac-Saint-Jean,,,
19800809 1500,1980,08,09,1200,Maple Green,NB,0,48.0160,-66.5283,,,,,,,,,Campbellton and Restigouche County,,,
19800810 ,1980,08,,,Aldersyde,AB,0,50.6800,-113.8400,,,,,,,,,Okotoks - High River - Claresholm,,,
19800812 0000,1980,08,11,2015,North Woodslee,ON,0,42.2142,-82.7441,42.2274,-82.7142,2890,245,10,,,,Windsor - Essex - Chatham-Kent,,,
19800812 0207,1980,08,11,2207,Port Dover,ON,0,42.7833,-80.2026,42.7924,-80.1750,2500,250,50,,,20,Simcoe - Delhi - Norfolk,,,
19800814 2000,1980,08,14,1600,Springfield,ON,0,44.3889,-76.3032,44.3842,-76.2622,3300,280,,,,,Kingston - Prince Edward,,,
19800814 2245,1980,08,14,1845,Meath,ON,0,45.7200,-77.0040,45.6999,-76.9634,3860,305,100,,,,Renfrew - Pembroke - Barry's Bay,,,
19800814 0000,1980,08,14,2010,Kirk Cove,ON,0,44.8000,-76.9833,,,,,,,,,Smiths Falls - Lanark - Sharbot Lake,,,
19800815 0020,1980,08,14,2020,London,ON,2,42.9741,-81.2117,42.9491,-81.1899,3280,330,,,,100,London - Middlesex,,,
19800814 0030,1980,08,14,2030,Stanleyville,ON,0,44.7662,-76.2728,,,,,,,,,Smiths Falls - Lanark - Sharbot Lake,,,
19800815 2000,1980,08,15,1700,Strathgartney,PE,0,46.2601,-63.3374,46.3015,-63.3330,4630,185,,0,0,,Queens County P.E.I.,,,
19800816 1740,1980,08,16,1430,Northport,NS,0,45.9313,-63.8643,,,,,20,,,,Cumberland County North and Cobequid Pass,,,
19800825 2315,1980,08,25,1915,Lansdowne House,ON,0,52.1904,-87.9890,52.2232,-87.8460,10400,250,,,,,Fort Hope - Webequie,,,
19800902 1330,1980,09,02,0945,Houghton Centre,ON,0,42.5986,-80.6663,42.6081,-80.6299,3170,250,20,,,,Simcoe - Delhi - Norfolk,,,
19800902 1915,1980,09,02,1515,Jarratt,ON,2,44.5841,-79.5831,44.5840,-79.5709,970,270,10,,,,Barrie - Orillia - Midland,,,
19800903 0017,1980,09,02,2017,South Lancaster,ON,1,45.1325,-74.5018,45.1337,-74.4823,1500,265,,,,,Cornwall - Morrisburg,,,
19800922 2245,1980,09,22,1845,Blenheim,ON,1,42.3600,-82.0458,42.3534,-82.0198,2260,290,90,,,,Windsor - Essex - Chatham-Kent,,,
19800922 2245,1980,09,22,1845,Stratford,ON,0,43.3603,-80.9982,43.3560,-80.9634,2860,280,120,0,0,760,Huron - Perth,,,
19800922 2255,1980,09,22,1855,Primrose,ON,0,44.0920,-80.1439,44.0877,-80.1205,1930,285,,,,11,Dufferin - Innisfil,,,
19800922 2320,1980,09,22,1920,Woodbridge,ON,1,43.7871,-79.5717,43.7838,-79.5448,2210,280,,,,,York - Durham,,,
19800922 2350,1980,09,22,1950,Mariposa,ON,0,44.3100,-78.9000,44.3104,-78.8307,5500,270,,,,,Peterborough - Kawartha Lakes,,,
19800923 0020,1980,09,22,2020,Lakefield,ON,0,44.4291,-78.3588,44.4382,-78.2635,7650,270,50,0,0,,Peterborough - Kawartha Lakes,,,
19800926 0100,1980,09,25,2100,Teeswater,ON,2,43.9800,-81.3600,44.0189,-81.1721,10900,255,300,,,,Grey - Bruce,,,
19800928 2115,1980,09,28,1815,Cape Traverse,PE,0,46.2342,-63.6298,,,,,,0,0,4,Prince County P.E.I.,,,
19810330 1800,1981,03,30,1400,Bothwell,ON,1,42.6110,-81.9610,42.6210,-81.9280,2760,245,,0,0,,Windsor - Essex - Chatham-Kent,,,
19810330 1945,1981,03,30,1545,Hickson,ON,0,43.2170,-80.8260,43.2190,-80.8230,350,190,,0,0,,Oxford - Brant,,,
19810528 ,1981,05,,,Wakaw,SK,0,52.6620,-105.7530,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19810603 2000,1981,06,03,1600,Midland,ON,0,44.7380,-79.9140,,,,,,0,0,,Barrie - Orillia - Midland,,,
19810604 ,1981,06,,,Melita,MB,0,49.2640,-100.9710,,,,,,,,,Melita - Boissevain - Turtle Mountain Provincial Park,,,
19810606 0000,1981,06,05,1800,Landonville,AB,1,53.5800,-110.7200,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19810606 0045,1981,06,05,1845,Clandonald,AB,0,53.5800,-110.7200,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19810606 0910,1981,06,06,0510,Harcourt,ON,1,45.1210,-78.2440,45.1290,-78.0550,15100,265,,0,0,,Haliburton,,,
19810606 2350,1981,06,06,1750,Clandonald,AB,1,53.5800,-110.7200,,,,,20,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19810610 1755,1981,06,10,1355,Acton,ON,0,43.5970,-80.0500,43.5850,-79.9820,5650,285,300,0,0,,Halton - Peel,,,
19810616 2000,1981,06,16,1400,Gallivan,SK,0,52.7640,-108.6800,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19810616 2000,1981,06,16,1400,Delmas,SK,0,52.9170,-108.6000,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19810701 ,1981,,,,Carnduff,SK,0,49.1830,-101.8000,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19810703 0100,1981,07,02,2000,Grandview,MB,0,51.1700,-100.6900,,,,,,,,,Dauphin - Roblin - Winnipegosis,,,
19810708 1800,1981,07,08,1500,Scotchtown,NB,2,45.9340,-66.1610,45.9089,-66.1300,3600,320,,,,10,Grand Lake and Queens County,,,
19810713 2240,1981,07,13,1640,Edmonton,AB,1,53.5400,-113.6600,,,,,,,,,City of Edmonton - St. Albert - Sherwood Park,,,
19810714,1981,07,,,Boyle,AB,0,54.6170,-112.8920,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19810714 ,1981,07,,,Govan,SK,0,51.3120,-104.9830,,,,,,,,,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake,,,
19810714 ,1981,07,,,Notre Dame de Lourdes,MB,0,49.5260,-98.5880,,,,,,,,,Killarney - Pilot Mound - Manitou,,,
19810715 0150,1981,07,14,1950,Rivière Qui Barre,AB,2,53.7740,-113.8430,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19810718 2300,1981,07,18,1900,Bond Head,ON,0,44.0990,-79.6440,44.0960,-79.5970,3610,275,,0,0,,Dufferin - Innisfil,,,
19810719 2000,1981,07,19,1600,Maple,ON,0,43.8560,-79.5340,43.8240,-79.4890,5130,310,,0,0,,York - Durham,,,
19810719 2015,1981,07,19,1615,Thornhill,ON,0,43.8680,-79.4900,43.8070,-79.4020,9730,310,,0,0,,York - Durham,,,
19810719 2035,1981,07,19,1635,Arden,ON,0,44.7200,-76.9100,,,,,,0,0,1000,Smiths Falls - Lanark - Sharbot Lake,,,
19810725 ,1981,07,,,Sangudo,AB,0,53.9100,-114.9000,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19810728 ,1981,07,,,Torch River,SK,0,53.6000,-105.0000,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19810730 0300,1981,07,29,2100,Regina,SK,0,50.4230,-104.7200,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19810804 1900,1981,08,04,1500,Bradford,ON,0,44.1240,-79.6110,44.1160,-79.5450,5640,280,160,0,0,,Dufferin - Innisfil,,,
19810805 2200,1981,08,05,1600,Kronau,SK,1,50.3000,-104.3000,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19810805 ,1981,08,,,Aylesbury,SK,0,50.8500,-105.7330,,,,,,,,,Moose Jaw - Pense - Central Butte - Craik,,,
19810808 1445,1981,08,08,1045,Brantford,ON,0,43.1300,-80.3970,43.1390,-80.3120,7030,260,,0,0,,Oxford - Brant,,,
19810811 2115,1981,08,11,1715,Niagara-on-the-Lake,ON,0,43.1950,-79.0960,43.1990,-79.0780,1490,250,,0,0,200,Niagara,,,
19810817 0215,1981,08,16,2015,Pense,SK,0,50.4200,-104.9800,,,,,,,,,Moose Jaw - Pense - Central Butte - Craik,,,
19810817 ,1981,08,,,Hughton,SK,1,51.2450,-107.9170,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19810822 2130,1981,08,22,1530,Wadena,SK,0,51.9500,-103.7830,,,,,,,,,Humboldt - Wynyard - Wadena - Lanigan - Foam Lake,,,
19810822 ,1981,08,,,Stenen,SK,0,51.8170,-102.3830,,,,,,,,,Kamsack - Canora - Preeceville,,,
19810830 2300,1981,08,30,1800,Plumas,MB,0,50.4030,-99.0680,,,,,,,,,Ste. Rose - McCreary - Alonsa - Gladstone,,,
19810910 2320,1981,09,10,1920,Howe Island,ON,0,44.3050,-76.2720,44.2950,-76.2420,2500,295,80,0,0,,Kingston - Prince Edward,,,
19810910 2340,1981,09,10,1940,Shannonville,ON,1,44.2530,-77.3070,44.2250,-77.1540,12800,285,200,0,0,,Kingston - Prince Edward,,,
19810911 0010,1981,09,10,2010,Adolphus Reach,ON,0,44.1120,-76.8740,,,,270,,0,0,,Kingston - Prince Edward,,,
19810914 0130,1981,09,13,2130,Sarnia,ON,0,43.0050,-82.3530,43.0160,-82.3210,2850,235,,0,0,,Sarnia - Lambton,,,
19820414 0130,1982,04,13,2130,Adamsville,QC,1,45.2663,-72.8120,,,,,,,,,Eastern Townships,,,
19820430 ,1982,04,,,Cudworth,SK,0,52.4880,-105.7350,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19820507 2300,1982,05,07,1700,Coutts,AB,0,49.0000,-111.9700,,,,,,,,,Lethbridge - Taber - Milk River,,,
19820513 ,1982,05,,,Mayerthorpe,AB,1,53.9500,-115.1315,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820513 ,1982,05,,,Fort Assiniboine,AB,0,54.3310,-114.7520,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19820528 2005,1982,05,28,1605,Dobbinton,ON,0,44.3930,-81.1340,44.3800,-81.1040,2650,300,60,0,0,2,Grey - Bruce,,,
19820529 ,1982,05,,,Magnolia,AB,0,53.6200,-114.8700,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820602 2130,1982,06,02,1530,Gainford,AB,1,53.5815,-114.7815,,,,,,,,8,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820603 0040,1982,06,02,1840,Prince Albert,SK,0,53.2000,-105.7700,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19820605 2220,1982,06,05,1620,Delisle,SK,0,51.9670,-107.4170,,,,,,,,,Martensville - Warman - Rosthern - Delisle - Wakaw,,,
19820606 2200,1982,06,06,1600,Prince Albert,SK,0,53.2000,-105.7700,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19820606 ,1982,06,,,Entwhistle,AB,1,53.5970,-114.9820,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820615 2300,1982,06,15,1900,Strathroy,ON,1,42.9160,-81.6340,42.9290,-81.5830,4300,250,20,0,0,,London - Middlesex,,,
19820615 2310,1982,06,15,1910,Chatham-Kent,ON,0,42.4270,-82.2620,42.4290,-82.2190,3500,270,,0,0,10,Windsor - Essex - Chatham-Kent,,,
19820615 ,1982,06,,,Parkbeg,SK,0,50.4500,-106.2690,,,,,,,,,Moose Jaw - Pense - Central Butte - Craik,,,
19820616 0025,1982,06,15,2025,Burford,ON,0,43.0700,-80.4700,43.1220,-80.3770,11100,230,,0,0,,Oxford - Brant,,,
19820616 0030,1982,06,15,2030,Port Burwell,ON,0,42.6440,-80.8080,42.6500,-80.7960,1040,235,,0,0,,Elgin,,,
19820622 1800,1982,06,22,1400,Mississauga,ON,0,43.5790,-79.6300,43.5740,-79.6030,2230,290,,0,0,,Halton - Peel,,,
19820622 2250,1982,06,22,1850,Exeter,ON,1,43.3300,-81.6040,43.3400,-81.5000,8000,260,,0,0,,Huron - Perth,,,
19820701 0000,1982,06,30,1800,12 km NE of Lacombe,AB,1,52.5300,-113.5800,,,,,,,,100,Red Deer - Ponoka - Innisfail - Stettler,,,
19820701 0300,1982,06,30,2100,Dovercourt,AB,3,52.2500,-114.8500,,,,,,0,1,500,Rocky Mountain House - Caroline,,,
19820701 0320,1982,06,30,2120,24 km N of Viking,AB,2,53.3180,-111.7780,,,,,,0,0,,Lloydminster - Wainwright - Vermilion - Provost,,,
19820701 0320,1982,06,30,2120,Kinsella,AB,1,53.0000,-111.5300,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19820701 ,1982,,,,Golden Prairie,SK,1,50.2330,-109.5500,,,,,,,,,Leader - Gull Lake,,,
19820702 0100,1982,07,01,1900,Consort,AB,1,52.0200,-110.7700,,,,,,,,,Hanna - Coronation - Oyen,,,
198207,1982,07,05,,Obonga Lake,ON,1,49.9600,-89.3400,,,,,,0,0,,Lake Nipigon - Wabakimi,,,
19820706 ,1982,07,,,Langdon,AB,0,50.9680,-113.6730,,,,,,,,,Brooks - Strathmore - Vulcan,,,
19820712 0000,1982,07,11,1800,Clive,AB,0,52.4700,-113.4500,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820714,1982,07,,,Jackfish Lake,AB,0,53.4800,-114.2400,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820714 ,1982,07,,,Barrhead,AB,1,54.1450,-114.4490,,,,,,,,,Westlock - Barrhead - Athabasca,,,
19820714 ,1982,07,,,Duffield,AB,1,53.5315,-114.3500,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820714 ,1982,07,,,Benalto,AB,0,52.2920,-114.2620,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820714 ,1982,07,,,Sylvan Lake,AB,0,52.3080,-114.0960,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820714 ,1982,07,,,Stony Plain,AB,1,53.5300,-114.0065,,,,,,,,,Spruce Grove - Morinville - Mayerthorpe - Evansburg,,,
19820714 ,1982,07,,,Lacombe,AB,1,52.4670,-113.7710,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820714 ,1982,07,,,Wetaskiwin,AB,0,52.9670,-113.3440,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19820714 ,1982,07,,,Sherwood Park,AB,0,53.5000,-113.2240,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19820714 ,1982,07,,,Vegreville,AB,0,53.5000,-112.0500,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
19820716 2130,1982,07,16,1530,Colgate,SK,1,49.4010,-103.8950,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19820717 0000,1982,07,16,1900,Emerson,MB,0,49.0010,-97.2200,,,,,,,,,Morden - Winkler - Altona - Emerson - Morris,,,
19820717 0030,1982,07,16,1930,Hadashville,MB,0,49.6800,-95.9000,,,,,,,,,Whiteshell - Lac du Bonnet - Pinawa,,,
19820717 0056,1982,07,16,1956,Melita,MB,0,49.2700,-100.9900,,,,,,,,,Melita - Boissevain - Turtle Mountain Provincial Park,,,
19820717 0323,1982,07,16,2223,32 km SW of Portage la Prairie,MB,0,49.8050,-98.5940,,,,,,,,,Brandon - Carberry - Treherne,,,
19820717 0330,1982,07,16,2230,St. Alphonse,MB,0,49.4300,-99.0000,,,,,,,,,Killarney - Pilot Mound - Manitou,,,
19820717 0430,1982,07,16,2330,Morden,MB,0,49.4900,-98.1000,,,,,,,,,Portage la Prairie - Headingley - Brunkild - Carman,,,
19820718 1940,1982,07,18,1540,Crowes Landing,ON,0,44.5600,-78.0600,,,,,,0,0,,Peterborough - Kawartha Lakes,,,
19820718 ,1982,07,,,Lucky Lake,AB,0,53.7410,-113.0050,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
19820719 1800,1982,07,19,1500,Bathurst,NB,1,47.6000,-65.6000,,,,,,,,10,Bathurst and Chaleur Region,,,
19820719 2200,1982,07,19,1600,Carrot River,SK,1,53.2930,-103.4850,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19820730 ,1982,07,,,Rocky Mountain House,AB,0,52.3700,-114.9200,,,,,,,,,Rocky Mountain House - Caroline,,,
19820805 ,1982,08,,,Carnduff,SK,0,49.0670,-101.7000,,,,,,,,,Carlyle - Oxbow - Carnduff - Bienfait - Stoughton,,,
19820808 1945,1982,08,08,1545,Cochrane,ON,0,49.0380,-81.3880,49.1260,-81.3830,9820,180,,0,0,100,Timmins - Cochrane,,,
19820811 2300,1982,08,11,1700,Ponteix,SK,2,49.7500,-107.4800,,,,,,,,,Shaunavon - Maple Creek - Val Marie - Cypress Hills,,,
19820812 0000,1982,08,11,1800,Alix,AB,0,52.3940,-113.1940,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820812 0000,1982,08,11,1800,Edgerton,AB,0,52.7590,-110.4860,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19820812 0142,1982,08,11,1942,Prince Albert,SK,0,53.2000,-105.7700,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19820812 0230,1982,08,11,2030,Marshall,SK,1,53.1940,-109.7670,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19820812 0300,1982,08,11,2100,14 km E of Stettler,AB,0,52.3200,-112.7200,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19820814 0000,1982,08,14,1800,Near Denholm,SK,1,52.6100,-107.8600,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19820815 0000,1982,08,14,1900,Decker,MB,0,50.2700,-100.7800,,,,,,,,,Minnedosa - Neepawa - Russell - Riding Mountain National Park,,,
19820815 2000,1982,08,15,1400,Vauxhall,AB,0,50.0700,-112.1200,,,,,,,,,Lethbridge - Taber - Milk River,,,
19820815 2000,1982,08,15,1500,Shamattawa,MB,0,55.8500,-92.0800,,,,,,,,,Shamattawa,,,
19820817 2200,1982,08,17,1600,Sylvania,SK,1,52.7670,-103.8000,,,,,,,,,Melfort - Tisdale - Nipawin - Carrot River,,,
19820818 0630,1982,08,18,0030,Hardy,SK,1,49.5670,-104.7170,,,,,,,,,Estevan - Weyburn - Radville - Milestone,,,
19820819 2345,1982,08,19,1945,Mattawa,ON,0,46.3000,-78.7000,,,,,,0,0,,North Bay - West Nipissing,,,
19820825 0845,1982,08,25,0445,Mount Brydges,ON,1,42.8930,-81.5500,42.9020,-81.3710,14400,265,,0,0,,London - Middlesex,,,
19820825 0845,1982,08,25,0445,London,ON,1,42.9360,-81.3260,42.9520,-81.1120,14900,265,20,0,0,,London - Middlesex,,,
19820910 1930,1982,09,10,1630,Wilmot ,PE,0,46.4002,-63.7538,,,,,,0,0,,Prince County P.E.I.,,,
19820911 0300,1982,09,10,2100,Calgary,AB,1,51.0500,-114.0800,,,,,,,,,City of Calgary,,,
19830502 1700,1983,05,02,1300,Walpole Island,ON,2,42.5420,-82.6150,42.6087,-82.4574,15000,240,,0,1,1000,Sarnia - Lambton,,,
19830502 1700,1983,05,02,1300,Reeces Corners,ON,4,42.9050,-82.2380,43.0410,-81.9700,30000,240,400,0,13,20000,Sarnia - Lambton,,,
19830502 1830,1983,05,02,1430,Cambridge,ON,2,43.3800,-80.4140,43.4340,-80.3040,10500,225,,0,0,,Waterloo - Wellington,,,
19830502 1925,1983,05,02,1525,Kettleby,ON,1,43.9610,-79.6060,44.0810,-79.4060,21600,230,,0,0,,York - Durham,,,
19830502 1930,1983,05,02,1530,Rexdale #1,ON,0,43.7380,-79.6090,43.8140,-79.5530,9930,205,,0,0,0,City of Toronto,,,
19830502 1930,1983,05,02,1530,Rexdale #2,ON,0,43.7050,-79.5960,43.7490,-79.5700,5930,195,,0,0,1200,City of Toronto,,,
19830502 1930,1983,05,02,1530,Rexdale #3,ON,0,43.7360,-79.5890,43.7860,-79.5470,5870,215,,0,0,0,City of Toronto,,,
19830508 ,1983,05,,,Delia,AB,0,51.6300,-112.3800,,,,,,,,,Drumheller - Three Hills,,,
19830508 ,1983,05,,,Czar,AB,0,52.4540,-110.8300,,,,,,,,,Lloydminster - Wainwright - Vermilion - Provost,,,
19830519 ,1983,05,,,Bengough,SK,1,49.4500,-105.0300,,,,,,,,,Assiniboia - Gravelbourg - Coronach,,,
19830529 2100,1983,05,29,1500,Silton,SK,0,50.8000,-104.9170,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19830620 2200,1983,06,20,1700,Bird's Hill Park,MB,0,49.9800,-96.9100,,,,,,,,,Dugald - Beausejour - Grand Beach,,,
19830621 0100,1983,06,20,2000,Tyndall,MB,0,50.0800,-96.6600,,,,,,,,,Dugald - Beausejour - Grand Beach,,,
19830621 0135,1983,06,20,1935,Lumsden,SK,0,50.6400,-104.8700,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19830621 ,1983,06,,,Green Ridge,MB,0,49.1600,-97.0000,,,,,,,,,Steinbach - St. Adolphe - Dominion City - Vita - Richer,,,
19830624 2145,1983,06,24,1545,Big Valley,AB,1,52.0350,-112.7450,,,,,,,,,Red Deer - Ponoka - Innisfail - Stettler,,,
19830624 ,1983,06,,,Round Hill,AB,0,53.1685,-112.6315,,,,,,,,,Leduc - Camrose - Wetaskiwin - Tofield,,,
19830624 ,1983,06,,,Coleville,SK,0,51.7080,-109.2530,,,,,,,,,Kindersley - Rosetown - Biggar - Wilkie - Macklin,,,
19830624 ,1983,06,,,Jackfish Lake,SK,0,53.0670,-108.3830,,,,,,,,,The Battlefords - Unity - Maidstone - St. Walburg,,,
19830624 ,1983,06,,,Prince Albert,SK,0,53.1140,-105.8380,,,,,,,,,Prince Albert - Shellbrook - Spiritwood - Duck Lake,,,
19830624 ,1983,06,,,Chamberlain,SK,0,50.8510,-105.5690,,,,,,,,,Moose Jaw - Pense - Central Butte - Craik,,,
19830625 0000,1983,06,24,1800,Strasbourg,SK,0,51.0700,-104.9500,,,,,,,,,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte,,,
19830625 0300,1983,06,24,2100,Vegreville,AB,0,53.4995,-112.0500,,,,,,,,,Fort Saskatchewan - Vegreville - Redwater - Smoky Lake,,,
